Genus,Group,Family,Source
Licania,A,Chrysobalanaceae,APG4
Licaria,A,Lauraceae,APG4
Lichinora,A,Orchidaceae,APG4
Lichnis,A,Caryophyllaceae,APG4
Lichtensteinia,A,Apiaceae,APG4
Licuala,A,Arecaceae,APG4
Lidbeckia,A,Asteraceae,APG4
Lidia,A,Caryophyllaceae,APG4
Lieberkuhna,A,Asteraceae,APG4
Liebichia,A,Grossulariaceae,APG4
Liebigia,A,Gesneriaceae,APG4
Liebmanara X,A,Orchidaceae,APG4
Liebrechtsia,A,Fabaceae,APG4
Liesneria,A,Loganiaceae,APG4
Lietzia,A,Gesneriaceae,APG4
Lifago,A,Asteraceae,APG4
Ligaria,A,Loranthaceae,APG4
Ligea,A,Podostemaceae,APG4
Ligeophila,A,Orchidaceae,APG4
Ligeria,A,Gesneriaceae,APG4
Lightfootia,A,Campanulaceae,APG4
Lightia,A,Euphroniaceae,APG4
Lightiodendron,A,Euphroniaceae,APG4
Ligia,A,Thymelaeaceae,APG4
Lignariella,A,Brassicaceae,APG4
Lignieria,A,Melastomataceae,APG4
Lignocarpa,A,Apiaceae,APG4
Ligularia,A,Asteraceae,APG4
Ligulariopsis,A,Asteraceae,APG4
Ligusticella,A,Apiaceae,APG4
Ligusticopsis,A,Apiaceae,APG4
Ligusticum,A,Apiaceae,APG4
Ligustridium,A,Oleaceae,APG4
Ligustrina,A,Oleaceae,APG4
Ligustrum,A,Oleaceae,APG4
Lijndenia,A,Melastomataceae,APG4
Lilac,A,Oleaceae,APG4
Lilaca,A,Oleaceae,APG4
Lilaea,A,Juncaginaceae,APG4
Lilaeopsis,A,Apiaceae,APG4
Liliacum,A,Oleaceae,APG4
Lilium,A,Liliaceae,APG4
Lilloa,A,Araceae,APG4
Limacia,A,Menispermaceae,APG4
Limaciopsis,A,Menispermaceae,APG4
Limadendron,A,Fabaceae,APG4
Limahlania,A,Gentianaceae,APG4
Limara X,A,Orchidaceae,APG4
Limatodes,A,Orchidaceae,APG4
Limbarda,A,Asteraceae,APG4
Limeum,A,Limeaceae,APG4
Limnalsine,A,Montiaceae,APG4
Limnanthemum,A,Menyanthaceae,APG4
Limnanthes,A,Limnanthaceae,APG4
Limnas,A,Poaceae,APG4
Limnaspidium,A,Scrophulariaceae,APG4
Limnetis,A,Poaceae,APG4
Limnia,A,Montiaceae,APG4
Limniboza,A,Lamiaceae,APG4
Limniris,A,Iridaceae,APG4
Limnobium,A,Hydrocharitaceae,APG4
Limnobotrya,A,Saxifragaceae,APG4
Limnocharis,A,Alismataceae,APG4
Limnochloa,A,Cyperaceae,APG4
Limnocitrus,A,Rutaceae,APG4
Limnodea,A,Poaceae,APG4
Limnophila,A,Plantaginaceae,APG4
Limnophyton,A,Alismataceae,APG4
Limnopoa,A,Poaceae,APG4
Limnorchis,A,Orchidaceae,APG4
Limnosciadium,A,Apiaceae,APG4
Limnosipanea,A,Rubiaceae,APG4
Limodorum,A,Orchidaceae,APG4
Limonia,A,Rutaceae,APG4
